personId,firstName,lastName
1000,Shandon,Anderson
100263,Bill,Laimbeer
1002,Reggie,Geary
1003,Drew,Barry
1005,Walt,Williams
100686,Michaela,Pavlickova
1006,Herb,Williams
100729,Michelle,Snow
1007,Luther,Wright
1008,Johnny,Dawkins
100,Tim,Legler
1010,Randy,Woods
101106,Andrew,Bogut
101107,Marvin,Williams
101108,Chris,Paul
101109,Raymond,Felton
101110,Martell,Webster
101111,Charlie,Villanueva
101112,Channing,Frye
101113,Ike,Diogu
101114,Deron,Williams
101115,Andrew,Bynum
101117,Yaroslav,Korolev
101118,Sean,May
101119,Rashad,McCants
101120,Antoine,Wright
101121,Joey,Graham
101122,Danny,Granger
101123,Gerald,Green
101124,Hakim,Warrick
101125,Julius,Hodge
101126,Nate,Robinson
101127,Jarrett,Jack
101128,Francisco,Garcia
101129,Luther,Head
101130,Johan,Petro
101131,Jason,Maxiell
101132,Linas,Kleiza
101133,Ian,Mahinmi
101134,Wayne,Simien
101135,David,Lee
101136,Salim,Stoudamire
101137,Daniel,Ewing
101138,Brandon,Bass
101139,CJ,Miles
101141,Ersan,Ilyasova
101142,Ronny,Turiaf
101143,Travis,Diener
101144,Von,Wafer
101145,Monta,Ellis
101146,Roko,Ukic
101147,Chris,Taft
101148,Mile,Ilic
101149,Martynas,Andriuskevicius
101150,Lou,Williams
101151,Erazem,Lorbek
101152,Bracey,Wright
101153,Mickael,Gelabale
101154,Andray,Blatche
101155,Ryan,Gomes
101156,Robert,Whaley
101158,Orien,Greene
101159,Dijon,Thompson
101160,Lawrence,Roberts
101161,Amir,Johnson
101162,Marcin,Gortat
101165,Alex,Acker
101166,Uros,Slokar
101177,Fabricio,Oberto
101178,Arvydas,Macijauskas
101179,Ronnie,Price
101180,Sarunas,Jasikevicius
101181,Jose,Calderon
101182,Donell,Taylor
101183,Shavlik,Randolph
101184,Deng,Gai
101185,Rawle,Marshall
101186,Lucas,Tischer
101187,Alan,Anderson
101188,Eddie,Basden
101189,James,Singleton
101190,Matt,Walsh
101194,Anthony,Roberson
101195,Luke,Schenscher
101198,Will,Bynum
101204,Dwayne,Jones
101207,Kevin,Burleson
101208,Spencer,Nelson
101209,Devin,Green
101211,Stephen,Graham
101212,Esteban,Batista
101213,Sharrod,Ford
101214,Jawad,Williams
101215,Will,Conroy
101216,Marcus,Campbell
101217,D'or,Fischer
101219,Anthony,Grundy
101223,Aaron,Miles
101224,Deji,Akindele
101225,Justin,Davis
101226,Matt,Nelson
101227,Kennedy,Winston
101228,Kyle,Bailey
101230,Noel,Felix
101232,Roger,Powell
101235,Kelenna,Azubuike
101236,Chuck,Hayes
101238,Boniface,Ndong
101239,Otis,George
101240,Kevin,Braswell
101242,Jason,Capel
101243,Chris,Alexander
101245,Filiberto,Rivera
101247,Keith,Langford
101249,John,Lucas III
101250,Adam,Chubb
101251,Ricky,Shields
101252,Sean,Banks
101253,Olu,Famutimi
101254,Herve,Lamizana
101255,Steve,Castleberry
101256,Anthony,Lever-Pedroza
101257,Eric,Sandrin
101258,Corey,Williams
101259,Toree,Morris
101260,Bryant,Matthews
101261,Andre,Owens
101262,Cory,Violette
101,Scott,Skiles
1022,Julius,Nwosu
1023,Emanual,Davis
1024,Horacio,Llamas
1026,Evric,Gray
1027,Trevor,Wilson
1030,Duane,Cooper
1032,Darvin,Ham
1034,LeRon,Ellis
1035,Shawnelle,Scott
1036,Litterial,Green
1037,Stojko,Vrankovic
1038,Juaquin,Hawkins
103,Todd,Day
1041,Nate,Driggers
1043,Amal,McCaskill
1049,Shane,Heal
104,Benoit,Benjamin
1051,Dean,Garrett
1052,Ben,Handlogten
1054,Jerrod,Mustaf
1055,Ed,Stokes
1059,Aleksandar,Djordjevic
105,Dan,Majerle
1061,William,Cunningham
1063,Carl,Thomas
1064,Brent,Scott
1065,Erick,Strickland
1067,Jeff,Webster
1068,Greg,Dreiling
1070,Devin,Gray
1073,Reggie,Slater
1074,Matt,Maloney
1075,Michael,McDonald
1077,Ray,Owes
107,Dale,Ellis
1080,Henry,James
1085,Ira,Bowman
1086,Joe,Stephens
1088,Chucky,Atkins
1089,Kevin,Salvadori
1090,Pat,Durham
1091,Mike,Smrek
1093,Gaylon,Nickerson
1096,Ivano,Newbill
1097,Zarko,Paspalj
1099,Matt,Steigenga
109,Robert,Horry
11000,Pau,Ribas
11001,Ander,Garcia
1100,Ian,Lockhart
1101,Rich,King
1106,Donald,Hodge
1108,Tony,Farmer
1109,James,Scott
1110,Mark,Strickland
1112,Ben,Wallace
1114,Jaren,Jackson
1116,Melvin,Newbern
1117,John,Shasky
1118,Tim,Kempton
111,LaPhonso,Ellis
1120,Elmer,Bennett
1121,Dexter,Boney
1122,Dominique,Wilkins
1123,Greg,Kite
11249,Marcelinho,Huertas
11250,David,Logan
11251,Mirza,Teletovic
11252,Dejan,Musli
11253,Fernando,San Emeterio
11256,Brad,Oleson
11257,Stanko,Barac
1125,Larry,Stewart
1126,Donald,Whiteside
1127,Charles,Claxton
1128,Stephen,Howard
1129,Ruben,Nembhard
112,Dontonio,Wingfield
1131,Jimmy,Carruth
1132,Larry,Sykes
1133,Corey,Beck
1134,Ike,Austin
1136,Brett,Szabo
1137,Chris,Jent
1138,Michael,Hawkins
114,Harold,Miner
11505,Nemanja,Bjelica
11509,Martin,Buesa
1165,Luis,Grillo
116,David,Wood
117,Jeff,Malone
1185,Violet,Palmer
120,Steven,Smith
121,Patrick,Ewing
122683568,Vernon,Macklin
122,Fred,Roberts
123,Robert,Pack
124,Vlade,Divac
1272,Kurt,Rambis
128,David,Benoit
1297,Jeff,Van Gundy
129,Dino,Radja
12,Chris,King
132,Dwayne,Morton
133,David,Wesley
134,Kevin,Johnson
1361,Mark,Bradtke
1365,Xavier,McDaniel
136,P.J.,Brown
137,Vernon,Maxwell
1380,Lloyd,Daniels
1381,John,Long
138,Anthony,Avent
140,Donald,Royal
141,Anthony,Tucker
1425,Aaron,Williams
1429,Jimmy,Oliver
1432,Joe,Courtney
1434,Dragan,Tarlac
143,Terry,Dehere
1441,Aurelijius,Zukauskas
1442,Zeljko,Rebraca
1444,Lawrence,Funderburke
1449,Larry,Bird
1450,Kevin,McHale
1453,Walter,Davis
1456,Randy,Wittman
145,Tracy,Murray
1460,James,Worthy
146,Jud,Buechler
1472,Tom,Chambers
1474,Larry,Krystkowiak
1477,Bruce,Bowen
1478,Stevin,Smith
1479,Mike,Brown
147,Jalen,Rose
1489,Lionel,Simmons
1495,Tim,Duncan
1496,Keith,Van Horn
1497,Chauncey,Billups
1498,Antonio,Daniels
1499,Tony,Battie
149,Michael,Adams
1500,Ron,Mercer
1501,Tim,Thomas
1502,Adonal,Foyle
1503,Tracy,McGrady
1504,Danny,Fortson
1505,Tariq,Abdul-Wahad
1506,Austin,Croshere
1507,Derek,Anderson
1508,Maurice,Taylor
1509,Kelvin,Cato
1510,Brevin,Knight
1511,Johnny,Taylor
1512,Chris,Anstey
1513,Scot,Pollard
1514,Paul,Grant
1515,Anthony,Parker
1516,Ed,Gray
1517,Bobby,Jackson
1518,Rodrick,Rhodes
1519,John,Thomas
1520,Charles,Smith
1521,Jacque,Vaughn
1522,Keith,Booth
1525,Charles,O'Bannon
1526,James,Cotton
1527,Marko,Milic
1528,Bubba,Wells
1529,Kebu,Stewart
1530,James,Collins
1531,Marc,Jackson
1532,Jerald,Honeycutt
1533,Anthony,Johnson
1535,Jason,Lawson
1536,Stephen,Jackson
1538,Cedric,Henderson
1539,God,Shammgod
1540,Eric,Washington
1541,Alvin,Williams
1542,Predrag,Drobnjak
1544,Chris,Crawford
1545,DeJuan,Wheat
1548,Mark,Blount
154,Adrian,Caldwell
1554,Jamal,Robinson
1559,Adrian,Griffin
1562,Gerard,King
1563,Kevin,Ollie
1564,Etdrick,Bohannon
1565,Michael,Stewart
1569,Keith,Closs
156,Antoine,Carr
1572,Nate,Huffman
1575,Derek,Grimm
1576,Travis,Williams
1577,Darnell,Mee
1578,Shea,Seals
157,Derek,Harper
1585,Brandon,Williams
1591,Alvin,Sims
1593,Charles,Shackleford
1594,Rick,Brunson
15,Eric,Piatkowski
