firstName,lastName,personId,gameId,gameDate,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints
Glenn,Mosley,77653,27800629,1979-02-16 20:00:00,San Antonio,Spurs,Portland,Trail Blazers,Regular Season,,,,1,1,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Kawhi,Leonard,202695,21601135,2017-03-31 20:00:00,San Antonio,Spurs,Oklahoma City,Thunder,Regular Season,,,,1,0,38.0,28.0,2.0,2.0,3.0,22.0,10.0,0.455,9.0,2.0,0.222,8.0,6.0,0.75,6.0,2.0,8.0,2.0,0.0,13.0
Antawn,Jamison,1712,21200398,2012-12-22 22:30:00,Los Angeles,Lakers,Golden State,Warriors,Regular Season,,,,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cory,Alexander,724,29900731,2000-02-18 19:00:00,Denver,Nuggets,Toronto,Raptors,Regular Season,,,,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richaun,Holmes,1626158,21800353,2018-12-04 21:00:00,Phoenix,Suns,Sacramento,Kings,Regular Season,,,,0,1,22.0,10.0,3.0,0.0,0.0,7.0,4.0,0.571,0.0,0.0,0.0,2.0,2.0,1.0,4.0,6.0,10.0,6.0,4.0,-4.0
Gerald,Wilkins,786,28800479,1989-01-24 20:00:00,New York,Knicks,Los Angeles,Lakers,Regular Season,,,,1,0,30.0,14.0,4.0,1.0,2.0,13.0,6.0,0.462,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0
Goran,Dragic,201609,21100304,2012-01-30 20:00:00,Houston,Rockets,Minnesota,Timberwolves,Regular Season,,,,0,1,23.0,7.0,9.0,0.0,1.0,10.0,2.0,0.2,4.0,0.0,0.0,4.0,3.0,0.75,2.0,0.0,2.0,3.0,0.0,0.0
Rudy,Gay,200752,21100043,2011-12-30 20:00:00,Memphis,Grizzlies,Houston,Rockets,Regular Season,,,,1,1,30.0,10.0,2.0,1.0,1.0,11.0,4.0,0.364,0.0,0.0,0.0,2.0,2.0,1.0,7.0,1.0,8.0,3.0,3.0,5.0
Frank,Ramsey,77907,25700178,1958-01-24 19:00:00,Boston,Celtics,New York,Knicks,Regular Season,,,,1,1,14.0,7.0,0.0,0.0,0.0,7.0,2.0,0.285,0.0,0.0,0.0,4.0,3.0,0.75,0.0,0.0,2.0,2.0,0.0,0.0
Danny,Manning,330,29900622,2000-01-29 22:00:00,Milwaukee,Bucks,Seattle,SuperSonics,Regular Season,,,,1,0,7.0,2.0,1.0,0.0,1.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-4.0
Keita,Bates-Diop,1628966,21900179,2019-11-16 20:00:00,Minnesota,Timberwolves,Houston,Rockets,Regular Season,,,,0,1,16.0,5.0,0.0,1.0,1.0,3.0,1.0,0.333,3.0,1.0,0.333,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,-10.0
Bill,Bridges,76253,26500343,1966-03-15 19:00:00,St. Louis,Hawks,San Francisco,Warriors,Regular Season,,,,1,0,48.0,16.0,5.0,0.0,0.0,10.0,5.0,0.5,0.0,0.0,0.0,8.0,6.0,0.75,0.0,0.0,11.0,3.0,0.0,0.0
Serge,Ibaka,201586,21600661,2017-01-22 12:00:00,Orlando,Magic,Golden State,Warriors,Regular Season,,,,0,1,20.0,10.0,1.0,1.0,1.0,9.0,4.0,0.444,4.0,2.0,0.5,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,-16.0
Chris,Ford,76733,27800866,1979-04-03 20:00:00,Boston,Celtics,New Orleans,Jazz,Regular Season,,,,0,0,29.0,18.0,8.0,0.0,0.0,18.0,9.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0
Richard,Anderson,76045,28600029,1986-11-04 20:00:00,Houston,Rockets,Sacramento,Kings,Regular Season,,,,1,0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin,Ollie,1563,20600992,2007-03-18 18:00:00,Philadelphia,76ers,Houston,Rockets,Regular Season,,,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buck,Williams,433,29001028,1991-04-10 20:00:00,Portland,Trail Blazers,San Antonio,Spurs,Regular Season,,,,1,0,28.0,10.0,0.0,1.0,0.0,6.0,5.0,0.832,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,8.0,5.0,4.0,0.0
Al,McGuire,77536,25300050,1953-11-22 19:00:00,New York,Knicks,Syracuse,Nationals,Regular Season,,,,1,0,19.0,2.0,2.0,0.0,0.0,3.0,1.0,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
Aron,Baynes,203382,21300559,2014-01-13 20:00:00,San Antonio,Spurs,New Orleans,Pelicans,Regular Season,,,,1,0,8.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,0.0,5.0,1.0,0.0,-11.0
Dwight,Jones,77182,28100407,1982-01-14 20:00:00,Chicago,Bulls,New Jersey,Nets,Regular Season,,,,0,0,27.0,16.0,0.0,0.0,0.0,9.0,6.0,0.667,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0
Andrew,Harrison,1626150,21700753,2018-01-31 19:00:00,Memphis,Grizzlies,Indiana,Pacers,Regular Season,,,,0,0,24.0,13.0,6.0,0.0,0.0,8.0,4.0,0.5,1.0,0.0,0.0,5.0,5.0,1.0,5.0,0.0,5.0,4.0,6.0,-11.0
LaMarcus,Aldridge,200746,21500612,2016-01-17 19:00:00,San Antonio,Spurs,Dallas,Mavericks,Regular Season,,,,1,1,27.0,23.0,1.0,1.0,0.0,15.0,9.0,0.6,0.0,0.0,0.0,5.0,5.0,1.0,6.0,1.0,7.0,1.0,0.0,16.0
Anthony,Peeler,324,29900312,1999-12-15 19:30:00,Minnesota,Timberwolves,Charlotte,Hornets,Regular Season,,,,0,0,20.0,10.0,4.0,0.0,1.0,8.0,4.0,0.5,1.0,1.0,1.0,2.0,1.0,0.5,0.0,0.0,0.0,3.0,1.0,-8.0
Perry,Jones III,203103,21400428,2014-12-25 14:30:00,Oklahoma City,Thunder,San Antonio,Spurs,Regular Season,,,,1,0,31.0,14.0,0.0,0.0,0.0,7.0,5.0,0.714,2.0,2.0,1.0,5.0,2.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0
Larry,Spriggs,78233,28300068,1983-11-09 20:00:00,Los Angeles,Lakers,Dallas,Mavericks,Regular Season,,,,1,1,6.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0
Pat,Connaughton,1626192,22000137,2021-01-09 20:00:00,Milwaukee,Bucks,Cleveland,Cavaliers,Regular Season,,,,1,1,10.0,6.0,0.0,0.0,0.0,5.0,2.0,0.4,3.0,2.0,0.667,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,2.0
Oliver,Miller,932,29600183,1996-11-26 20:30:00,Dallas,Mavericks,San Antonio,Spurs,Regular Season,,,,1,1,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,-1.0
Thaddeus,Young,201152,22000922,2021-04-26 20:00:00,Chicago,Bulls,Miami,Heat,Regular Season,,,,1,0,26.0,10.0,8.0,0.0,0.0,6.0,5.0,0.833,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,9.0,4.0,2.0,-3.0
