1956	10
1957	6
1963	7
1964	5
1965	7
1967	5
1968	9
1969	8
1970	7
1971	5
1972	11
1973	14
1974	9
1975	8
1976	10
1977	23
1978	12
1979	14
1980	14
1981	6
1982	9
1983	16
1984	14
1985	19
1986	8
1987	10
1988	13
1989	23
1990	20
1991	12
1992	16
1993	19
1994	16
1995	14
1996	12
1997	12
1998	6
1999	17
2000	20
2001	17
2002	17
2003	17
2004	20
2005	18
2006	16
2007	22
2008	22
2009	19
2010	22
2011	14
2012	23
2013	9
2014	19
2015	22
2016	25
2017	21
2018	30
2019	25
2020	10
2021	31
2022	21
2023	16
2024	31
2025	14
personId	1
