gameYear	count	mean_3PA	median_3PA
1949	3	0.000000	0.000000
1950	1	0.000000	0.000000
1951	3	0.000000	0.000000
1953	4	0.000000	0.000000
1954	1	0.000000	0.000000
1955	3	0.000000	0.000000
1956	10	0.000000	0.000000
1957	6	0.000000	0.000000
1958	4	0.000000	0.000000
1959	3	0.000000	0.000000
1960	2	0.000000	0.000000
1961	4	0.000000	0.000000
1962	2	0.000000	0.000000
1963	7	0.000000	0.000000
1964	5	0.000000	0.000000
1965	7	0.000000	0.000000
1966	3	0.000000	0.000000
1967	5	0.000000	0.000000
1968	9	0.000000	0.000000
1969	8	0.000000	0.000000
1970	7	0.000000	0.000000
1971	5	0.000000	0.000000
1972	11	0.000000	0.000000
1973	14	0.000000	0.000000
1974	9	0.000000	0.000000
1975	8	0.000000	0.000000
1976	10	0.000000	0.000000
1977	23	0.000000	0.000000
1978	12	0.000000	0.000000
1979	14	0.000000	0.000000
1980	14	0.500000	0.000000
1981	6	0.000000	0.000000
1982	9	0.222222	0.000000
1983	16	0.000000	0.000000
1984	14	0.285714	0.000000
1985	19	0.210526	0.000000
1986	8	0.375000	0.000000
1987	10	0.400000	0.000000
1988	13	0.076923	0.000000
1989	23	0.391304	0.000000
1990	20	1.250000	0.000000
1991	12	0.250000	0.000000
1992	16	1.000000	1.000000
1993	19	0.684211	0.000000
1994	16	1.000000	0.000000
1995	14	0.642857	0.000000
1996	12	1.250000	0.000000
1997	12	1.250000	0.000000
1998	6	1.666667	0.000000
1999	17	0.764706	0.000000
2000	20	1.550000	0.000000
2001	17	0.588235	0.000000
2002	17	1.294118	0.000000
2003	17	1.647059	1.000000
2004	20	0.900000	0.000000
2005	18	1.166667	0.000000
2006	16	1.625000	1.000000
2007	22	1.090909	0.000000
2008	22	1.818182	1.000000
2009	19	1.947368	0.000000
2010	22	1.090909	0.000000
2011	14	1.785714	0.500000
2012	23	1.086957	0.000000
2013	9	3.333333	4.000000
2014	19	0.947368	1.000000
2015	22	2.545455	1.000000
2016	25	2.760000	1.000000
2017	21	1.809524	0.000000
2018	28	1.857143	1.000000
2019	25	2.640000	1.000000
2020	10	3.100000	2.500000
2021	31	2.645161	1.000000
2022	21	2.857143	2.000000
2023	16	1.812500	1.000000
2024	31	2.774194	2.000000
2025	14	1.928571	1.000000
