gameYear	personId
2009	101150
2015	101150
2017	101150
2018	101150
1983	107
1992	107
1993	107
2000	1563
2007	1563
2007	1563
2024	1630526
2025	1630526
2025	1630526
2011	201586
2014	201586
2017	201586
2014	201587
2024	201587
2024	201587
1989	202
1992	202
2000	202
2013	202331
2018	202331
2021	202331
2012	202696
2012	202696
2019	202696
1989	204
1990	204
1996	204
1996	204
2006	2564
2007	2564
2012	2564
2009	2585
2009	2585
2012	2585
1995	275
1997	275
2003	275
1990	288
1992	288
1993	288
1969	76003
1978	76003
1989	76003
1965	76253
1966	76253
1972	76253
1968	76716
1974	76716
1974	76716
1969	76979
1972	76979
1977	76979
1980	76979
1961	77751
1964	77751
1965	77751
1984	78304
1987	78304
1991	78304
1977	78500
1977	78500
1980	78500
1984	78614
1985	78614
1988	78614
2000	947
2004	947
2008	947
