playerId	avg_points_per_min	games	bucket
600006	0.379	1	MID
2222	0.226	1	LOW
2223	0.333	1	MID
203468	0.444	1	MID
2224	0.600	1	MID
2225	0.265	1	LOW
2226	1.000	1	HIGH
1626185	0.200	1	LOW
203516	0.133	1	LOW
2679	0.476	1	MID
1630190	0.000	1	ZERO
1630191	0.521	1	MID
1630193	0.862	1	HIGH
1628467	0.385	1	MID
1630691	0.000	1	ZERO
1628966	0.312	1	MID
78000	0.167	1	LOW
165	0.667	2	MID
166	0.475	1	MID
1630245	0.408	2	MID
211	0.393	1	MID
168	0.351	1	MID
212	0.000	1	ZERO
78500	0.817	3	HIGH
77115	0.263	1	LOW
78459	0.182	1	LOW
202083	0.400	2	MID
216	0.457	2	MID
714	0.250	1	LOW
202087	0.391	1	MID
600013	0.933	1	HIGH
77618	0.577	1	MID
2230	0.227	2	LOW
31	0.267	1	LOW
1626192	0.600	1	MID
203528	0.500	1	MID
2736	0.524	1	MID
1642281	0.000	1	ZERO
77070	0.429	1	MID
1628973	0.621	1	MID
1847	0.393	1	MID
78460	0.182	1	LOW
1631099	0.125	1	LOW
77074	0.364	1	MID
175	0.438	1	MID
1628978	0.625	1	MID
76230	0.750	1	HIGH
177	0.353	1	MID
2	0.515	2	MID
78014	0.240	1	LOW
178	0.429	2	MID
179	0.532	1	MID
78510	0.407	2	MID
3	0.417	2	MID
78466	0.048	2	LOW
224	0.528	1	MID
77578	0.545	1	MID
77623	0.251	2	LOW
76733	0.435	2	MID
78516	0.500	1	MID
203487	0.467	1	MID
42	0.158	1	LOW
2693	0.650	1	MID
203488	0.957	1	HIGH
2742	0.385	1	MID
2248	0.274	2	LOW
2748	0.364	1	MID
181	1.333	1	HIGH
78471	0.345	1	MID
76195	0.062	2	LOW
1628537	0.800	1	HIGH
1906	0.000	1	ZERO
78473	0.321	1	MID
78022	0.000	1	ZERO
77582	0.345	1	MID
77583	0.429	1	MID
77133	0.346	1	MID
78475	0.308	1	MID
1630311	0.000	1	ZERO
1642347	0.476	1	MID
77586	0.236	2	LOW
78028	0.385	1	MID
78523	0.261	1	LOW
236	0.235	1	LOW
731	0.000	1	ZERO
688	0.172	1	LOW
77634	0.036	1	LOW
238	0.412	1	MID
689	0.484	1	MID
203493	0.000	1	ZERO
735	0.372	1	MID
76747	0.686	1	MID
2250	0.765	1	HIGH
203496	0.529	1	MID
203994	0.304	1	MID
56	0.707	1	HIGH
1861	0.500	1	MID
203999	0.750	1	HIGH
2755	0.500	1	MID
2757	0.808	1	HIGH
77092	0.286	1	LOW
2804	0.476	1	MID
1913	0.087	2	LOW
192	0.417	1	MID
1628995	0.000	1	ZERO
194	0.235	1	LOW
78481	0.522	1	MID
77141	0.438	2	MID
77142	0.556	1	MID
692	0.189	2	LOW
1918	0.429	1	MID
1631212	0.470	1	MID
198	0.362	2	MID
76252	0.483	1	MID
77144	0.258	1	LOW
76253	0.345	3	MID
78532	0.571	1	MID
696	0.385	1	MID
1642402	0.215	1	LOW
78037	0.286	1	LOW
698	0.667	1	MID
77148	0.448	1	MID
78534	0.400	1	MID
247	0.485	2	MID
248	0.381	1	MID
77644	0.200	1	LOW
77149	0.000	1	ZERO
76800	0.240	1	LOW
76305	0.500	1	MID
77648	0.333	1	MID
2260	0.000	1	ZERO
61	0.250	1	LOW
76308	0.500	1	MID
63	0.271	2	LOW
64	0.657	2	MID
203103	0.452	1	MID
67	0.200	2	LOW
203106	0.444	1	MID
1425	0.667	1	MID
202718	0.286	1	LOW
76262	0.000	1	ZERO
252	0.321	2	MID
78541	1.000	1	HIGH
255	0.300	1	MID
78047	0.519	2	MID
78049	0.354	1	MID
77653	0.000	1	ZERO
305	0.465	2	MID
70	0.083	1	LOW
76317	0.483	1	MID
72	0.308	1	MID
1381	0.846	1	HIGH
73	0.167	1	LOW
76	0.545	1	MID
2772	0.400	1	MID
202720	0.182	1	LOW
78	0.516	1	MID
202721	0.250	1	LOW
202725	0.286	1	LOW
1889	0.324	1	MID
1934	0.414	1	MID
1938	1.000	1	HIGH
76272	0.522	2	MID
760	0.324	1	MID
77210	0.000	1	ZERO
265	0.056	1	LOW
77710	0.250	1	LOW
77215	0.000	1	ZERO
76324	0.545	1	MID
78106	0.333	1	MID
766	0.000	1	ZERO
767	0.105	1	LOW
317	0.459	1	MID
203076	0.738	1	HIGH
82	1.000	1	HIGH
202681	0.595	1	MID
78606	0.333	1	MID
203078	1.029	1	HIGH
1891	0.367	1	MID
77719	0.594	1	MID
88	0.000	1	ZERO
202688	0.182	1	LOW
1894	0.474	1	MID
202689	0.562	1	MID
1897	0.545	1	MID
1629013	0.771	1	HIGH
101107	0.233	1	LOW
1944	0.143	1	LOW
1449	0.977	1	HIGH
202738	1.167	1	HIGH
1642382	0.000	1	ZERO
1627732	0.237	1	LOW
273	0.641	1	MID
1627734	0.467	1	MID
76283	0.000	1	ZERO
78561	0.609	1	MID
77175	0.343	2	MID
1627735	0.417	1	MID
275	0.424	3	MID
1627739	0.438	1	MID
203080	0.429	1	MID
279	0.067	1	LOW
78610	0.613	1	MID
78567	0.358	2	MID
324	0.500	1	MID
77721	0.514	1	MID
203083	0.208	1	LOW
76336	0.750	1	HIGH
76832	0.733	2	HIGH
78614	0.710	3	HIGH
328	0.300	1	MID
203086	0.667	1	MID
202691	0.469	1	MID
78617	1.000	1	HIGH
2294	0.179	1	LOW
203089	0.452	1	MID
202693	0.287	2	LOW
95	0.375	1	MID
203585	0.238	1	LOW
202694	0.486	1	MID
202695	0.737	1	HIGH
76838	0.556	1	MID
101111	0.857	1	HIGH
202696	0.476	2	MID
203136	0.000	1	ZERO
203138	0.329	2	MID
1500	0.478	1	MID
1629022	0.733	1	HIGH
1005	0.000	1	ZERO
1456	0.387	1	MID
1502	0.105	1	LOW
1956	0.133	1	LOW
1505	0.087	1	LOW
1627741	0.626	1	MID
280	0.100	1	LOW
1506	0.000	2	ZERO
281	0.222	1	LOW
77182	0.593	1	MID
1629029	0.778	1	HIGH
283	0.615	1	MID
76296	0.000	1	ZERO
330	0.286	1	LOW
781	0.435	1	MID
782	0.571	1	MID
1627748	0.267	1	LOW
288	0.603	3	MID
76298	0.111	1	LOW
77685	0.350	1	MID
78577	0.333	1	MID
203092	0.071	1	LOW
786	0.470	2	MID
787	0.091	1	LOW
77733	0.461	2	MID
77689	0.361	2	MID
203095	0.488	2	MID
76847	0.231	1	LOW
1460	0.478	2	MID
101120	0.333	1	MID
101123	0.000	1	ZERO
101124	0.533	1	MID
101127	0.179	1	LOW
203648	0.400	1	MID
101128	0.167	1	LOW
2404	0.800	1	HIGH
1515	0.543	1	MID
2406	0.526	1	MID
292	0.125	1	LOW
78133	0.286	1	LOW
