year,avg_3PA,avg_3PM
1979,0.0,0.0
1980,0.5,0.07142857142857142
1981,0.0,0.0
1982,0.2222222222222222,0.1111111111111111
1983,0.0,0.0
1984,0.2857142857142857,0.0
1985,0.21052631578947367,0.0
1986,0.375,0.0
1987,0.4,0.2
1988,0.07692307692307693,0.0
1989,0.391304347826087,0.13043478260869565
1990,1.25,0.5
1991,0.25,0.0
1992,1.0,0.25
1993,0.6842105263157895,0.15789473684210525
1994,1.0,0.3125
1995,0.6428571428571429,0.5
1996,1.25,0.4166666666666667
1997,1.25,0.4166666666666667
1998,1.6666666666666667,0.5
1999,0.7647058823529411,0.35294117647058826
2000,1.55,0.8
2001,0.5882352941176471,0.29411764705882354
2002,1.2941176470588236,0.4117647058823529
2003,1.6470588235294117,0.4117647058823529
2004,0.9,0.3
2005,1.1666666666666667,0.5555555555555556
2006,1.625,0.625
2007,1.0909090909090908,0.4090909090909091
2008,1.8181818181818181,0.7272727272727273
2009,1.9473684210526316,0.7894736842105263
2010,1.0909090909090908,0.3181818181818182
2011,1.7857142857142858,0.5
2012,1.0869565217391304,0.30434782608695654
2013,3.3333333333333335,1.6666666666666667
2014,0.9473684210526315,0.47368421052631576
2015,2.5454545454545454,0.9090909090909091
2016,2.76,0.76
2017,1.8095238095238095,0.5238095238095238
2018,1.7333333333333334,0.7333333333333333
2019,2.64,0.72
2020,3.1,0.9
2021,2.6451612903225805,0.9032258064516129
2022,2.857142857142857,1.0952380952380953
2023,1.8125,0.75
2024,2.774193548387097,0.9354838709677419
2025,1.9285714285714286,0.5
